gxa_property_name	occurrences_in_contrasts	contrast_property_types	example_values	example_urls	example_accessions	current_handling_or_gap	candidate_inference_field
individual	3963	SAMPLE:3950; FACTOR:13	individual  568, individual  585, individual  515 vs individual  560, individual  608, individual  511, individual  532, individual  548; individual  613, individual  513, individual  557, individual  612, individual  579, individual  611, individual  578, individual  610, individual  531, individual  553, individual  574, individual  572, individual  594, individual  571, individual  609, individual  509, individual  607, individual  628, individual  625, individual  624, individual  622, individual  567, individual  589, individual  587, individual  565, individual  564, individual  541, individual  563, individual  584, individual  561, individual  583, individual  582, individual  518, individual  617, individual  539, individual  516, individual  615 vs individual  560, individual  608, individual  511, individual  532, individual  548; ICC18, ICC14, ICC16, ICC10, ICC8, ICC12, ICC24 vs ICC9, ICC15, ICC17, ICC11, ICC23, ICC13, ICC6	https://www.ebi.ac.uk/gxa/experiments/E-CURD-149/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-149/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-45/Results	E-CURD-149; E-CURD-149; E-CURD-45	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
disease	3904	SAMPLE:2536; FACTOR:1368	colorectal adenocarcinoma, colon carcinoma, vs colorectal adenocarcinoma, colon carcinoma,; pancreatic carcinoma vs pancreatic carcinoma; bacterial disease vs normal	https://www.ebi.ac.uk/gxa/experiments/E-CURD-115/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-116/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-149/Results	E-CURD-115; E-CURD-116; E-CURD-149	Structured as healthCondition and contributes to variableMeasured/measurementDenominator context; SAMPLE values are not duplicated into sample.additionalProperty.	healthCondition.name; variableMeasured.value; measurementDenominator.value
cell type	3836	SAMPLE:3247; FACTOR:589	macrophage vs macrophage; keratinocyte vs keratinocyte; monocyte vs monocyte	https://www.ebi.ac.uk/gxa/experiments/E-ERAD-132/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-100100/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10233/Results	E-ERAD-132; E-GEOD-100100; E-GEOD-10233	Structured as sample.cellType and contributes to condition context; not duplicated into sample.additionalProperty.	sample.cellType.name; variableMeasured.description; measurementDenominator.description
phenotype	3011	SAMPLE:2155; FACTOR:856	Ufo1-1 expression vs wild type phenotype; fea4 loss of function mutant vs wild type phenotype; , microgranuloma	https://www.ebi.ac.uk/gxa/experiments/E-CURD-42/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-43/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results	E-CURD-42; E-CURD-43; E-CURD-59	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
cell line	2675	SAMPLE:2126; FACTOR:549	mixed HT-29, HT55 and DLD-2, mixed HT-29, HT55 and DLD-1, mixed HT-29, HT55 and DLD-4, mixed HT-29, HT55 and DLD-3 vs mixed HT-29, HT55 and DLD-6, mixed HT-29, HT55 and DLD-5, mixed HT-29, HT55 and DLD-7; E14 vs E14; MM6 vs MM6	https://www.ebi.ac.uk/gxa/experiments/E-CURD-115/Results; https://www.ebi.ac.uk/gxa/experiments/E-ERAD-132/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10233/Results	E-CURD-115; E-ERAD-132; E-GEOD-10233	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
clinical information	2282	SAMPLE:1981; FACTOR:301	, phenotype related to drug treatment; , phenotype related to drug treatment vs , phenotype related to drug treatment; , phenotype related to drug treatment	https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results	E-CURD-59; E-CURD-59; E-CURD-59	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
growth condition	2156	FACTOR:1323; SAMPLE:833	treated directly vs treated directly; grown without sodium dihydrogenphosphate for 21 days vs grown without sodium dihydrogenphosphate for 21 days; grown in 0.323 millimolar sodium dihydrogenphosphate for 21 days vs grown in 0.323 millimolar sodium dihydrogenphosphate for 21 days	https://www.ebi.ac.uk/gxa/experiments/E-CURD-48/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-49/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-49/Results	E-CURD-48; E-CURD-49; E-CURD-49	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
cohort	2145	FACTOR:2121; SAMPLE:24	PERFORM vs PERFORM; acetamidofluorene vs acetamidofluorene; acetaminophen vs acetaminophen	https://www.ebi.ac.uk/gxa/experiments/E-CURD-149/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-50/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-50/Results	E-CURD-149; E-CURD-50; E-CURD-50	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
disease staging	1838	SAMPLE:1731; FACTOR:107	, minimal; , minimal vs , minimal; , minimal	https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results	E-CURD-59; E-CURD-59; E-CURD-59	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
experiment id	1650	SAMPLE:1650	, 511; , 511 vs , 511; , 511	https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results	E-CURD-59; E-CURD-59; E-CURD-59	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
group id	1650	SAMPLE:1650	, 7; 8, vs , 4; , 5	https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results	E-CURD-59; E-CURD-59; E-CURD-59	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
rat id	1650	SAMPLE:1650	, 2; , 1, 5 vs , 5; , 3	https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results	E-CURD-59; E-CURD-59; E-CURD-59	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
topography type	1650	SAMPLE:1650	, liver cell; centrilobular; , centrilobular	https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-59/Results	E-CURD-59; E-CURD-59; E-CURD-59	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
ecotype	1616	SAMPLE:1481; FACTOR:135	Col-0 vs Col-0; Col-0 vs Col-0; Bd21 vs Bd21	https://www.ebi.ac.uk/gxa/experiments/E-CURD-29/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-44/Results; https://www.ebi.ac.uk/gxa/experiments/E-ENAD-6/Results	E-CURD-29; E-CURD-44; E-ENAD-6	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
infect	1479	FACTOR:1381; SAMPLE:98	Exserohilum turcicum 15st008 vs mock; Exserohilum turcicum Et28A vs mock; Exserohilum turcicum 15st008 vs mock	https://www.ebi.ac.uk/gxa/experiments/E-CURD-147/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-147/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-148/Results	E-CURD-147; E-CURD-147; E-CURD-148	Structured as infectiousAgent when value is not mock/control/normal/none; SAMPLE values are not duplicated into sample.additionalProperty.	infectiousAgent.name
cultivar	1057	SAMPLE:871; FACTOR:186	B73 vs B73; BTx 623 vs BTx 623; Japonica vs Japonica	https://www.ebi.ac.uk/gxa/experiments/E-CURD-147/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-148/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-28/Results	E-CURD-147; E-CURD-148; E-CURD-28	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
stimulus	845	FACTOR:632; SAMPLE:213	nitrogen fertiliser vs nitrogen fertiliser; none vs none; nitrogen fertiliser vs none	https://www.ebi.ac.uk/gxa/experiments/E-CURD-37/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-37/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-37/Results	E-CURD-37; E-CURD-37; E-CURD-37	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
treatment	826	FACTOR:724; SAMPLE:102	untreated vs untreated; untreated; protoplasting vs control	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-103501/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-103501/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10496/Results	E-GEOD-103501; E-GEOD-103501; E-GEOD-10496	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
genetic modification	565	SAMPLE:479; FACTOR:86	transfection vs transfection; stable transfection vs stable transfection; adenoviral transduction vs adenoviral transduction	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10233/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10289/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-13274/Results	E-GEOD-10233; E-GEOD-10289; E-GEOD-13274	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
sampling time point	554	FACTOR:457; SAMPLE:97	24 hours after inoculation vs 24 hours after inoculation; 72 hours after inoculation vs 72 hours after inoculation; 24 hours after inoculation vs 24 hours after inoculation	https://www.ebi.ac.uk/gxa/experiments/E-CURD-147/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-147/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-148/Results	E-CURD-147; E-CURD-147; E-CURD-148	FACTOR values are preserved in variableMeasured/measurementDenominator context; SAMPLE values are structured as sample.additionalProperty. observationPeriod remains a possible future refinement.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty; observationPeriod.name
RNA interference	492	FACTOR:431; SAMPLE:61	zfp-1-1 knockdown by dsRNA vs scrambled dsRNA; Sbsn siRNA vs scrambled siRNA; cyclin T1 shRNA vs control shRNA	https://www.ebi.ac.uk/gxa/experiments/E-ENAD-22/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-100100/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10233/Results	E-ENAD-22; E-GEOD-100100; E-GEOD-10233	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
sampling site	484	FACTOR:247; SAMPLE:237	neoplasm vs neoplasm; neoplasm vs normal tissue adjacent to neoplasm; root tip vs root tip	https://www.ebi.ac.uk/gxa/experiments/E-CURD-116/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-45/Results; https://www.ebi.ac.uk/gxa/experiments/E-ENAD-8/Results	E-CURD-116; E-CURD-45; E-ENAD-8	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
environmental stress	462	FACTOR:453; SAMPLE:9	nitrogen deprivation and then resupplied with nitrogen for 12 hour vs nitrogen deprivation and then resupplied with nitrogen for 12 hour; nitrogen deprivation and then resupplied with nitrogen for 6 hour vs nitrogen deprivation and then resupplied with nitrogen for 6 hour; nitrogen deprivation vs nitrogen deprivation	https://www.ebi.ac.uk/gxa/experiments/E-ENAD-12/Results; https://www.ebi.ac.uk/gxa/experiments/E-ENAD-12/Results; https://www.ebi.ac.uk/gxa/experiments/E-ENAD-12/Results	E-ENAD-12; E-ENAD-12; E-ENAD-12	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
specimen with known storage state	386	SAMPLE:373; FACTOR:13	paraffin specimen vs paraffin specimen; paraffin specimen vs paraffin specimen; formalin specimen vs formalin specimen	https://www.ebi.ac.uk/gxa/experiments/E-ENAD-46/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-106937/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-150316/Results	E-ENAD-46; E-GEOD-106937; E-GEOD-150316	Structured as sample.sampleState; not duplicated into sample.additionalProperty.	sample.sampleState
biosource type	343	SAMPLE:343	frozen_sample vs frozen_sample; frozen_sample vs frozen_sample; frozen_sample vs frozen_sample	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-1482/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-1934/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-2210/Results	E-GEOD-1482; E-GEOD-1934; E-GEOD-2210	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
diet	302	FACTOR:280; SAMPLE:22	intermittent fasting every 16 hours vs ad libitum; intermittent fasting every 24 hours vs ad libitum; diet restriction (0.25% yeast extract) vs no diet restriction (4% yeast extract)	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-130127/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-130127/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-16738/Results	E-GEOD-130127; E-GEOD-130127; E-GEOD-16738	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
block	277	FACTOR:268; SAMPLE:9	blood-Lot1-Plate7, blood-Lot2-Plate5, blood-Lot2-Plate6, blood-Lot1-Plate9, blood-Lot1-Plate8, blood-Lot2-Plate3, blood-Lot2-Plate4, blood-Lot1-Plate1 vs blood-Lot1-Plate7, blood-Lot2-Plate5, blood-Lot2-Plate6, blood-Lot1-Plate9, blood-Lot1-Plate8, blood-Lot2-Plate2, blood-Lot2-Plate3, blood-Lot2-Plate4, blood-Lot1-Plate1; blood-Lot1-Plate7, blood-Lot2-Plate5, blood-Lot2-Plate6, blood-Lot1-Plate9, blood-Lot1-Plate8, blood-Lot2-Plate2, blood-Lot2-Plate3, blood-Lot2-Plate4, blood-Lot1-Plate1 vs blood-Lot1-Plate7, blood-Lot2-Plate5, blood-Lot2-Plate6, blood-Lot1-Plate9, blood-Lot1-Plate8, blood-Lot2-Plate2, blood-Lot2-Plate3, blood-Lot2-Plate4, blood-Lot1-Plate1; biopsies-B2-Plate3, biopsies-B1-Plate3, biopsies-B2-Plate5 vs biopsies-B2-Plate3, biopsies-B2-Plate4	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-100833/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-100833/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-100833/Results	E-GEOD-100833; E-GEOD-100833; E-GEOD-100833	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
progenitor cell type	273	SAMPLE:271; FACTOR:2	embryonic stem cell vs embryonic stem cell; induced pluripotent stem cell vs induced pluripotent stem cell; fibroblast vs fibroblast	https://www.ebi.ac.uk/gxa/experiments/E-ERAD-132/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-52202/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-52249/Results	E-ERAD-132; E-GEOD-52202; E-GEOD-52249	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
clinical history	272	SAMPLE:166; FACTOR:106	Friedreich ataxia vs heterozygous carrier for Fridreichs ataxia; Friedreich ataxia vs none; heterozygous carrier for Fridreichs ataxia vs none	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-102008/Results	E-GEOD-102008; E-GEOD-102008; E-GEOD-102008	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
initial time point	186	SAMPLE:186	birth vs birth; germination vs germination; birth vs birth	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-21525/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-29814/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-33141/Results	E-GEOD-21525; E-GEOD-29814; E-GEOD-33141	FACTOR values are preserved in variableMeasured/measurementDenominator context; SAMPLE values are structured as sample.additionalProperty. observationPeriod remains a possible future refinement.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty; observationPeriod.name
passage	128	FACTOR:72; SAMPLE:56	2 vs 2; 9 vs 9; 3 vs 3	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10479/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-12121/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-13274/Results	E-GEOD-10479; E-GEOD-12121; E-GEOD-13274	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
breed	126	SAMPLE:85; FACTOR:41	Hyline vs Hyline; Yorkshire vs Yorkshire; Scottish Blackface vs Scottish Blackface	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-114103/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-4294/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-5146/Results	E-GEOD-114103; E-MTAB-4294; E-MTAB-5146	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
ethnic group	119	SAMPLE:119	caucasian vs caucasian; American, African American; American, African American vs American, British, African American	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-10433/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-112057/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-13501/Results	E-GEOD-10433; E-GEOD-112057; E-GEOD-13501	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
replicate	114	SAMPLE:114	batch2, batch1 vs batch2, batch1; 1, 2, 3 vs 1, 2, 3; 1, 2, 3, 4, 5 vs 1, 2, 3, 4, 5	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-100100/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-10267/Results; https://www.ebi.ac.uk/gxa/experiments/E-MTAB-10460/Results	E-GEOD-100100; E-MTAB-10267; E-MTAB-10460	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
biosource provider	112	SAMPLE:112	Liang Liu Lab, Department of Forensic Medicine, Tongji Medical College, Huazhong University of Science and Technology vs Guoping Wang Lab, Department of Pathology, School of Basic Medicine, Tongji Medical College, Huazhong University of Science and Technology; Animal Resource Centre, Western Australia vs Animal Resource Centre, Western Australia; R. Thomas, The Hamner Institutes for Health Sciences, 6 Davis Dr, RTP, NC, 27709, R. Thomas, rthomas@thehamner.org, 919 558 1311, 919 558 1300 vs R. Thomas, The Hamner Institutes for Health Sciences, 6 Davis Dr, RTP, NC, 27709, R. Thomas, rthomas@thehamner.org, 919 558 1311, 919 558 1300	https://www.ebi.ac.uk/gxa/experiments/E-ENAD-46/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-15184/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-18858/Results	E-ENAD-46; E-GEOD-15184; E-GEOD-18858	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
injury	103	FACTOR:95; SAMPLE:8	denervation vs none; spinal cord transection vs control; burn vs control	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-171662/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-19701/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-19743/Results	E-GEOD-171662; E-GEOD-19701; E-GEOD-19743	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
irradiate	91	FACTOR:91	0 Gray vs 0 Gray; 0.1 Gray vs 0.1 Gray; gamma radiation vs control	https://www.ebi.ac.uk/gxa/experiments/E-GEOD-18216/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-18216/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-2084/Results	E-GEOD-18216; E-GEOD-18216; E-GEOD-2084	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
temperature	90	FACTOR:58; SAMPLE:32	25 vs 25; 37 degree celsius vs 20 degree celsius; 16 degree celsius vs 16 degree celsius	https://www.ebi.ac.uk/gxa/experiments/E-ENAD-10/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-11758/Results; https://www.ebi.ac.uk/gxa/experiments/E-GEOD-15689/Results	E-ENAD-10; E-GEOD-11758; E-GEOD-15689	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
